曲目ID,中文名称,EnglishTitle,专辑名称,曲目序号,音频文件名,身份定位,神学主题,属灵气质,传统用途,适合文章类型,不适合文章类型,一句话总评,来源链接,来源说明
A5-16,奇妙的耶稣,"Wonderful, Wonderful Jesus",神圣羔羊 Divine Redeemer,16,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的爱；基督救赎；福音恩典；敬拜回应,温暖；感恩；敬拜；安慰,福音信息；救恩默想；主日回应；感恩见证,强调神主动的爱、基督救赎、罪人蒙恩以及被爱激发敬拜回应的文章,主要落点是严肃警戒、属灵争战、主餐礼仪或宣教差派的文章,神的爱；基督救赎；福音恩典；敬拜回应；适合强调神主动的爱、基督救赎、罪人蒙恩以及被爱激发敬拜回应的文章。,https://hymnary.org/search?qu=Wonderful%2C%20Wonderful%20Jesus | https://songselect.ccli.com/search/results?List=Wonderful%2C%20Wonderful%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A5-17,耶稣，在万民之上,Jesus Name Above All Names,神圣羔羊 Divine Redeemer,17,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=Jesus%20Name%20Above%20All%20Names | https://songselect.ccli.com/search/results?List=Jesus%20Name%20Above%20All%20Names,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A5-18,你的信实广大,Great Is Thy Faithfulness,神圣羔羊 Divine Redeemer,18,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的护理；信实；患难中的保守；信靠顺服,安稳；温柔；坚信；受安慰,苦难安慰；病中探访；信心坚固；灵修默想,强调神在苦难、等待、未知前路中仍然掌权与看顾的文章,主要落点是认罪悔改、得胜凯歌或圣诞庆贺的文章,神的护理；信实；患难中的保守；信靠顺服；适合强调神在苦难、等待、未知前路中仍然掌权与看顾的文章。,https://hymnary.org/search?qu=Great%20Is%20Thy%20Faithfulness | https://songselect.ccli.com/search/results?List=Great%20Is%20Thy%20Faithfulness,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-19,有福的确据,Blessed Assurance,神圣羔羊 Divine Redeemer,19,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,救恩确据；得赎身份；重生生命；福音见证,确据；感恩；明亮；稳妥,见证；福音回应；救恩主题；主日赞美,强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章,主要落点是哀伤追思、主餐肃穆、圣洁审判或安静等候的文章,救恩确据；得赎身份；重生生命；福音见证；适合强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章。,https://hymnary.org/search?qu=Blessed%20Assurance | https://songselect.ccli.com/search/results?List=Blessed%20Assurance,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-20,收成感恩,"Come, Ye Thankful People",神圣羔羊 Divine Redeemer,20,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,创造护理；神的伟大；感恩；敬拜造物主,开阔；赞叹；感恩；安稳,感恩节；创造主题；神护理主题；主日赞美,强调神创造、掌权、供应、护理，以及人以感恩敬拜回应的文章,主要落点是悔改呼召、主餐记念、十字架受苦或个人哀伤的文章,创造护理；神的伟大；感恩；敬拜造物主；适合强调神创造、掌权、供应、护理，以及人以感恩敬拜回应的文章。,https://hymnary.org/search?qu=Come%2C%20Ye%20Thankful%20People | https://songselect.ccli.com/search/results?List=Come%2C%20Ye%20Thankful%20People,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-01,赞美基督耶稣,Morning Praise,美哉主耶稣 Fairest Lord Jesus,1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Morning%20Praise | https://songselect.ccli.com/search/results?List=Morning%20Praise,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A6-02,圣哉三一,"Holy, Holy, Holy",美哉主耶稣 Fairest Lord Jesus,2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的圣洁；基督尊荣；敬拜与降卑,庄严；敬畏；崇高；肃穆,主日崇拜；圣洁主题；圣诞敬拜；敬拜引导,强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章,以个人软弱安慰、日常陪伴或轻柔默想为主的文章,神的圣洁；基督尊荣；敬拜与降卑；适合强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章。,https://hymnary.org/search?qu=Holy%2C%20Holy%2C%20Holy | https://songselect.ccli.com/search/results?List=Holy%2C%20Holy%2C%20Holy,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-03,美哉主耶稣,Fairest Lord Jesus,美哉主耶稣 Fairest Lord Jesus,3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=Fairest%20Lord%20Jesus | https://songselect.ccli.com/search/results?List=Fairest%20Lord%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-04,奇妙十架,When I Survey the Wondrous Cross,美哉主耶稣 Fairest Lord Jesus,4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=When%20I%20Survey%20the%20Wondrous%20Cross | https://songselect.ccli.com/search/results?List=When%20I%20Survey%20the%20Wondrous%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-05,奇异的爱,And Can It Be?,美哉主耶稣 Fairest Lord Jesus,5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,恩典；罪得赦免；救恩确据；福音见证,感恩；谦卑；安慰；盼望,福音呼召；见证；追思安慰；救恩主题灵修,强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章,主要强调神圣洁审判、属灵争战或礼仪性主餐默想的文章,恩典；罪得赦免；救恩确据；福音见证；适合强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章。,https://hymnary.org/search?qu=And%20Can%20It%20Be%3F | https://songselect.ccli.com/search/results?List=And%20Can%20It%20Be%3F,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-06,恩典大过我罪,Grace Greater Than All My Sins,美哉主耶稣 Fairest Lord Jesus,6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,恩典；罪得赦免；救恩确据；福音见证,感恩；谦卑；安慰；盼望,福音呼召；见证；追思安慰；救恩主题灵修,强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章,主要强调神圣洁审判、属灵争战或礼仪性主餐默想的文章,恩典；罪得赦免；救恩确据；福音见证；适合强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章。,https://hymnary.org/search?qu=Grace%20Greater%20Than%20All%20My%20Sins | https://songselect.ccli.com/search/results?List=Grace%20Greater%20Than%20All%20My%20Sins,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-07,主被钉十架,Were You There? / Crown Him,美哉主耶稣 Fairest Lord Jesus,7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=Were%20You%20There%3F%20%2F%20Crown%20Him | https://songselect.ccli.com/search/results?List=Were%20You%20There%3F%20%2F%20Crown%20Him,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
A6-08,你真伟大,How Great Thou Art,美哉主耶稣 Fairest Lord Jesus,8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,创造护理；神的伟大；感恩；敬拜造物主,开阔；赞叹；感恩；安稳,感恩节；创造主题；神护理主题；主日赞美,强调神创造、掌权、供应、护理，以及人以感恩敬拜回应的文章,主要落点是悔改呼召、主餐记念、十字架受苦或个人哀伤的文章,创造护理；神的伟大；感恩；敬拜造物主；适合强调神创造、掌权、供应、护理，以及人以感恩敬拜回应的文章。,https://hymnary.org/search?qu=How%20Great%20Thou%20Art | https://songselect.ccli.com/search/results?List=How%20Great%20Thou%20Art,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-09,贺祂为王,All Hail the Power of Jesus' Name,美哉主耶稣 Fairest Lord Jesus,9,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=All%20Hail%20the%20Power%20of%20Jesus'%20Name | https://songselect.ccli.com/search/results?List=All%20Hail%20the%20Power%20of%20Jesus'%20Name,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-10,主治万方,Jesus Shall Reign,美哉主耶稣 Fairest Lord Jesus,10,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,福音使命；基督掌权；属灵争战；差派见证,坚定；外展；得胜；呼召,宣教聚会；差派礼；福音使命；属灵争战信息,强调传福音、万民归主、教会使命、为真理站立的文章,安静哀伤、个人退修、主餐默想或细腻牧养安慰的文章,福音使命；基督掌权；属灵争战；差派见证；适合强调传福音、万民归主、教会使命、为真理站立的文章。,https://hymnary.org/search?qu=Jesus%20Shall%20Reign | https://songselect.ccli.com/search/results?List=Jesus%20Shall%20Reign,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-11,主耶稣，我爱你,"My Jesus, I Love Thee",美哉主耶稣 Fairest Lord Jesus,11,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=My%20Jesus%2C%20I%20Love%20Thee | https://songselect.ccli.com/search/results?List=My%20Jesus%2C%20I%20Love%20Thee,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-12,尊崇主,I Exalt Thee,美哉主耶稣 Fairest Lord Jesus,12,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=I%20Exalt%20Thee | https://songselect.ccli.com/search/results?List=I%20Exalt%20Thee,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A6-13,颂赞主圣名,Blessed Be Thy Name,美哉主耶稣 Fairest Lord Jesus,13,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Blessed%20Be%20Thy%20Name | https://songselect.ccli.com/search/results?List=Blessed%20Be%20Thy%20Name,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-14,耶稣恩友,What a Friend We Have in Jesus,美哉主耶稣 Fairest Lord Jesus,14,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=What%20a%20Friend%20We%20Have%20in%20Jesus | https://songselect.ccli.com/search/results?List=What%20a%20Friend%20We%20Have%20in%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-15,主凡事引导,All the Way My Savior Leads Me,美哉主耶稣 Fairest Lord Jesus,15,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的护理；信实；患难中的保守；信靠顺服,安稳；温柔；坚信；受安慰,苦难安慰；病中探访；信心坚固；灵修默想,强调神在苦难、等待、未知前路中仍然掌权与看顾的文章,主要落点是认罪悔改、得胜凯歌或圣诞庆贺的文章,神的护理；信实；患难中的保守；信靠顺服；适合强调神在苦难、等待、未知前路中仍然掌权与看顾的文章。,https://hymnary.org/search?qu=All%20the%20Way%20My%20Savior%20Leads%20Me | https://songselect.ccli.com/search/results?List=All%20the%20Way%20My%20Savior%20Leads%20Me,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-16,奔向锡安,Marching to Zion,美哉主耶稣 Fairest Lord Jesus,16,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,天家盼望；永恒；寄居客旅；与主面对面,盼望；深远；安慰；天路感,追思安慰；永恒盼望；天路客旅；临终关怀,强调今世寄居、永恒盼望、天家归宿、与主面对面的文章,主要是现实行动呼召、轻快赞美或圣诞节期文章,天家盼望；永恒；寄居客旅；与主面对面；适合强调今世寄居、永恒盼望、天家归宿、与主面对面的文章。,https://hymnary.org/search?qu=Marching%20to%20Zion | https://songselect.ccli.com/search/results?List=Marching%20to%20Zion,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-17,与主面对面,Face to Face,美哉主耶稣 Fairest Lord Jesus,17,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,天家盼望；永恒；寄居客旅；与主面对面,盼望；深远；安慰；天路感,追思安慰；永恒盼望；天路客旅；临终关怀,强调今世寄居、永恒盼望、天家归宿、与主面对面的文章,主要是现实行动呼召、轻快赞美或圣诞节期文章,天家盼望；永恒；寄居客旅；与主面对面；适合强调今世寄居、永恒盼望、天家归宿、与主面对面的文章。,https://hymnary.org/search?qu=Face%20to%20Face | https://songselect.ccli.com/search/results?List=Face%20to%20Face,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A6-18,快乐崇拜,"Joyful, Joyful We Adore Thee",美哉主耶稣 Fairest Lord Jesus,18,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Joyful%2C%20Joyful%20We%20Adore%20Thee | https://songselect.ccli.com/search/results?List=Joyful%2C%20Joyful%20We%20Adore%20Thee,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-01,救主在等待,The Savior is Waiting,藏身主怀 You Are My Hiding Place,1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,福音呼召；悔改归主；救主怜悯；回应恩典,恳切；温柔；呼召；悔改,福音呼召；布道会回应；悔改祷告；归主见证,文章最终落点是呼召人悔改、归向基督、接受福音恩典时使用,主要是给信徒的安慰、圣诞庆贺、主餐礼仪或宣教差派文章,福音呼召；悔改归主；救主怜悯；回应恩典；适合文章最终落点是呼召人悔改、归向基督、接受福音恩典时使用。,https://hymnary.org/search?qu=The%20Savior%20is%20Waiting | https://songselect.ccli.com/search/results?List=The%20Savior%20is%20Waiting,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-02,来就上主羔羊,Just As I Am,藏身主怀 You Are My Hiding Place,2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,福音呼召；悔改归主；救主怜悯；回应恩典,恳切；温柔；呼召；悔改,福音呼召；布道会回应；悔改祷告；归主见证,文章最终落点是呼召人悔改、归向基督、接受福音恩典时使用,主要是给信徒的安慰、圣诞庆贺、主餐礼仪或宣教差派文章,福音呼召；悔改归主；救主怜悯；回应恩典；适合文章最终落点是呼召人悔改、归向基督、接受福音恩典时使用。,https://hymnary.org/search?qu=Just%20As%20I%20Am | https://songselect.ccli.com/search/results?List=Just%20As%20I%20Am,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-03,奇异恩典,Amazing Grace,藏身主怀 You Are My Hiding Place,3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,恩典；罪得赦免；救恩确据；福音见证,感恩；谦卑；安慰；盼望,福音呼召；见证；追思安慰；救恩主题灵修,强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章,主要强调神圣洁审判、属灵争战或礼仪性主餐默想的文章,恩典；罪得赦免；救恩确据；福音见证；适合强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章。,https://hymnary.org/search?qu=Amazing%20Grace | https://songselect.ccli.com/search/results?List=Amazing%20Grace,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-04,救赎主,Redeemed,藏身主怀 You Are My Hiding Place,4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,救恩确据；得赎身份；重生生命；福音见证,确据；感恩；明亮；稳妥,见证；福音回应；救恩主题；主日赞美,强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章,主要落点是哀伤追思、主餐肃穆、圣洁审判或安静等候的文章,救恩确据；得赎身份；重生生命；福音见证；适合强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章。,https://hymnary.org/search?qu=Redeemed | https://songselect.ccli.com/search/results?List=Redeemed,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-05,你是我藏身处,You Are My Hiding Place,藏身主怀 You Are My Hiding Place,5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=You%20Are%20My%20Hiding%20Place | https://songselect.ccli.com/search/results?List=You%20Are%20My%20Hiding%20Place,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A7-06,主藏我灵在他爱中,He Hideth My Soul,藏身主怀 You Are My Hiding Place,6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=He%20Hideth%20My%20Soul | https://songselect.ccli.com/search/results?List=He%20Hideth%20My%20Soul,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-07,我心灵得安宁,It Is Well with My Soul,藏身主怀 You Are My Hiding Place,7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=It%20Is%20Well%20with%20My%20Soul | https://songselect.ccli.com/search/results?List=It%20Is%20Well%20with%20My%20Soul,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-08,主的完全平安,Like a River Glorious,藏身主怀 You Are My Hiding Place,8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=Like%20a%20River%20Glorious | https://songselect.ccli.com/search/results?List=Like%20a%20River%20Glorious,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-09,开我的眼，主,"Open Our Eyes, Lord",藏身主怀 You Are My Hiding Place,9,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,属灵光照；明白真理；顺服神道；内在更新,恳切；安静；受教；寻求,读经前后；讲道回应；灵修默想；真理更新,强调求主开启眼睛、明白圣经真理、从神话语受教并回应的文章,主要落点是圣诞庆典、复活凯歌、主餐礼仪或追思安慰的文章,属灵光照；明白真理；顺服神道；内在更新；适合强调求主开启眼睛、明白圣经真理、从神话语受教并回应的文章。,https://hymnary.org/search?qu=Open%20Our%20Eyes%2C%20Lord | https://songselect.ccli.com/search/results?List=Open%20Our%20Eyes%2C%20Lord,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A7-10,耶稣是我亲爱牧者,"Savior, Like a Shepherd",藏身主怀 You Are My Hiding Place,10,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=Savior%2C%20Like%20a%20Shepherd | https://songselect.ccli.com/search/results?List=Savior%2C%20Like%20a%20Shepherd,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-11,按他时候,In His Time,藏身主怀 You Are My Hiding Place,11,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的护理；信实；患难中的保守；信靠顺服,安稳；温柔；坚信；受安慰,苦难安慰；病中探访；信心坚固；灵修默想,强调神在苦难、等待、未知前路中仍然掌权与看顾的文章,主要落点是认罪悔改、得胜凯歌或圣诞庆贺的文章,神的护理；信实；患难中的保守；信靠顺服；适合强调神在苦难、等待、未知前路中仍然掌权与看顾的文章。,https://hymnary.org/search?qu=In%20His%20Time | https://songselect.ccli.com/search/results?List=In%20His%20Time,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A7-12,在花园里,In the Garden,藏身主怀 You Are My Hiding Place,12,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=In%20the%20Garden | https://songselect.ccli.com/search/results?List=In%20the%20Garden,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
